mturk,List,Condition,Pair.old,itemcode,Pair,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,good.bad,Target.Freq.Max,Target.Prop,Target.Freq,Notes,Best,Best.Freq,Best.Prop,Second,Second.Freq,Second.Prop,Third,Third.Freq,Third.Prop,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Notes.Colin,Notes.orig,good.if.reversed,Target.Freq.Exact.Spelling.And.Form
1,4,g,34,,31,the beach bum,saw,which,fish,the,seagulls,had,caught,along the beach.,g,7,0.233333333,7,,eaten,13,0.433333333,caught,7,0.233333333,ate,1,0.033333333,eaten,eaten,caught,eaten,caught,caught,eaten,scooped out of the ocean,eaten,gotten to,eaten,not caught,eaten,ate,eaten without hesitation,flown,eaten,preferred,rejected,swallowed,caught,caught,eaten more often,attacked,the easiest time catching,eaten,eaten,caught,eaten,caught,fix spelling on picknick,,n,7
1,3,g,34,,31,the beach bum,saw,which,picnickers,the,seagulls,had,caught,along the beach.,b,7,0,0,"attacked is actually cloze 6, but occurs once in the other sentence",attacked,5,0.166666667,bothered,4,0.133333333,targeted,3,0.1,targeted,engulfed,bothered,bothered,attacked,tickled,attatcked,congregated near,pooped upon,targeted,been fed by,harassed,attacked,bothered,stood by,picked on,disturbed,attacked,targeted,tormented,rushed,preyed upon,attacked,flocked around,taken food from,followed,tormented,attacked,Bothered,circled around,"or flip and use ""eaten""","or flip and use ""eaten""; fixed spelling of picnickers",n,0
1,4,g,41,,32,the circus-goer,explained,which,juggler,the,clown,had,tripped,in the center ring.,g,7,0.233333333,7,"1/7 ""tripped"" is ""tripped over""",tripped,7,0.233333333,knocked,3,0.1,taught,2,0.066666667,stuns with,squirted,knocked down,annoyed,taught to juggle,tossed balls to,fooled,bumped into,tripped over,teamed up with,shot,tripped,tricked,interacted with,the best response from the crowd,hurt,tripped,knocked over,tripped,tripped,knocked over,taught,mimicked,made fun of,been accusing of theft,pushed,tripped,hit,joined,tripped,,,n,7
1,3,g,41,,32,the circus-goer,explained,which,child,the,clown,had,tripped,in the center ring.,b,7,0,0,frightened is cloze 5,scared,10,0.333333333,frightened,4,0.133333333,molested,2,0.066666667,enchanted with the animal-shaped balloons,tickled,scared,scared,scared,scared,tricked,made cry,frightened,picked,given his attention to,befriended,scared,angered,scared,smiled at,scared,scared,frightened,frieghtened,touched,seen,molested,frightened.,entertained,hated,frightened,molested,Scared,scared,"this is unexpected, but not implausible","hyphenated  circus-goer; I disagree with Colin, I think tripping a kid is just a terribly mean thing for a clown to do and pretty unlikely",n,0
1,3,g,53,,33,the football fan,heard,which,cheerleader,the,quarterback,had,dated,after the season.,g,7,0.233333333,7,,dated,7,0.233333333,married,3,0.1,screwed,3,0.1,asked to the prom,dated.,noticed,dated,screwed,screwed,married,proposed to after the game,banged,slept with,dated,dated,dated,screwed,partied with,sex with,assaulted,dated,been dating,slept with,picked,flirted with,harassed,proposed to,married,dated,feelings for,slept with,Kissed,married,good,,n,7
1,4,g,53,,33,the football fan,heard,which,linebacker,the,quarterback,had,dated,after the season.,b,7,0,0,,tackled,4,0.133333333,thrown,3,0.1,avoided,2,0.066666667,defended,avoided,taken out to dinner,teased,tackled,thrown the ball to,avoided,thrown the ball to,passed to,been sacked by,tackled,evaded,hurt,kicked,taken a hit from,tackled,injured,argued with,scolded,dodged,juked,kicked,thrown the most to,beef with,been sacked by,sacked,selected,sacked,fired,tackled,,,n,0
1,4,g,82,,34,the seasonal laborer,marked,which,cows,the,farmer,had,milked,early this morning.,g,7,0.233333333,7,,milked,7,0.233333333,chosen,3,0.1,fed,3,0.1,wanted,milked,selected to sell,milked,sold to market,fed,favored,chosen for market,let out to pasture,chosen for sale,fattened,milked,milked,decided to slaughter,tagged for the upcoming season,milked,butchered,branded,chosen for slaughter,milked,already milked,fed,said were going to market,been milked,finished milking,told him to,selected,fed,milked,sold,good,,n,7
1,3,g,82,,34,the seasonal laborer,marked,which,chickens,the,farmer,had,milked,early this morning.,b,7,0,0,,sold,4,0.133333333,killed,3,0.1,already,2,0.066666667,planned to send to market,slaughtered,freed,asked,already collected eggs from,killed,chosen,already fed,counted before they hatched,hatched,killed,sold,killed,sold,fed the most,sold,mentioned,chosen for slaughter,plucked,given him,choked,butchered,slaughtered,marked for the butcher,fed,wanted to keep,to kill,brought,Laid,sold,,,n,0
1,2,g,85,,35,the secretary,knew,which,manager,the,CEO,had,promoted,from the old office.,g,7,0.233333333,7,,fired,12,0.428571429,promoted,6,0.214285714,hired,5,0.178571429,promoted,fired,fired,hired,chosen,hired,fired,fired,hired,promoted,laid off,refused to promote,promoted,promoted,promoted,fired,laid off.,fired,fired,fired,hired first,words with,fired,hired.,fired,promoted,fired.,fired,fired,promoted,Colin hasn't checked,,n,7
1,1,g,85,,35,the secretary,knew,which,investor,the,CEO,had,promoted,from the old office.,b,7,0,0,"if change a different one that is ""fired"" or ""hired"" can swap this one from promoted to that, then swap one above to promoted.. Hm no wait wouldn't work since an investor can have a CEO firedÉ.",called,3,0.1,bribed,2,0.066666667,liked,2,0.066666667,given his money to,contacted,embezzled,called,defrauded,helped,spoken to,paid off,bribed,slept with,liked,been talking about,consulted,appreciated,hid information from,bribed,caramelized,trusted,thanked,called,screwed over,bankrupted,disagreed with,called.,lied to,lunch with,thanked,shady dealings with,aquired,liked,Colin hasn't checked,,n,0
1,4,g,4,,36,General Jones,heard,which,terrorist,the,corporal,had,captured,during the battle.,g,6,0.2,6,,captured,6,0.2,found,2,0.066666667,killed,2,0.066666667,control of,apprehended,yelled at,discovered,found and killed,found,demoted,been working with,captured,witnessed,captured,captured,tortured,captured,listed as the most dangerous criminal alive,killed,captured,imprisoned,released,trapped,locked in the basement,caught,shot,abused,put to death,fired on,jailed,killed,targeted,captured,good,,n,6
1,3,g,4,,36,General Jones,heard,which,comrade,the,corporal,had,captured,during the battle.,b,6,0,0,"if I can swap out a different ""promoted"", I want to change this one from ""captured"" to ""promoted""É. Hm never mind this is not going to work.",promoted,6,0.2,punished,2,0.066666667,saved,2,0.066666667,been impressed by,punished,killed,disobeyed,befriended,executed,promoted,invited to the military dinner,shot,promoted,praised,fought with,hurt,dismissed,won the battle with,promoted,saved,sent to Siberia,saved,commanded,punished,promoted,disciplined,sent to the front lines,commended,promoted,promoted,yelled at,Punched,taken commands from,,,n,0
1,2,g,6,,37,Jason,saw,which,nerd,the,teacher,had,praised,for his good behavior.,g,6,0.2,6,,praised,6,0.214285714,picked,3,0.107142857,complimented,2,0.071428571,chosen as her favorite,praised,praised,taken under her wing,picked,picked on,encouraged,scolded,praised,praised,picked on,made fun of,liked,called on,teach the class,praised,favored.,complimented,praised,given extra credit to,discriminated against,commended,favored,liked.,expelled,been badmouthing,complimented.,teased,given the test,liked,good,,n,6
1,1,g,6,,37,Jason,saw,which,rascal,the,teacher,had,praised,for his good behavior.,b,6,0,0,,punished,6,0.2,spanked,4,0.133333333,disciplined,3,0.1,to punish,sent to the principal,punished,spanked,punished,yelled at,scolded,yelled at,punished,scolded,caned,punished,chided,reprimanded,put in time out,been terrified of,spanked,punished,punished,slapped,spanked,pinched,disciplined,taken to the principal's office.,disciplined,disciplined,yelled at,reprimanded,in class,spanked,,,n,0
1,4,g,10,,38,Jim,forgot,which,addict,the,therapist,had,treated,in his last session.,g,6,0.2,6,,helped,6,0.2,treated,6,0.2,given,3,0.1,talked to,treated,agreed to meet with,helped,given treatment to,talked about,saved,met with today,treated,treated,referred,given the medication to,treated,warned her about,been providing service to for the past years,advised,helped,treated,assigned to the room,discussed,given pills to,cured,said needed to stay in treatment longer,helped,to stop treating,cured,helped,treated,helped,helped,keep in mind Colin's point about whether general meaning or specific word is more important; but I think recommending is a predictable relationship for therapist/doctor,keep in mind Colin's point about whether general meaning or specific word is more important; but I think recommending is a predictable relationship for therapist/doctor,n,6
1,3,g,10,,38,Jim,forgot,which,doctor,the,therapist,had,treated,in his last session.,b,6,0,0,"recommended is even higher close than indicated (25 not 23), and would work fine except for balancing the g and r stimuli",recommended,23,0.766666667,banged,1,0.033333333,chosen,1,0.033333333,recommended,recommended,married,recommended,recommended,chosen,referred,recommended that he see,recommended,recommended,recommended,recommended,recommended,recommended,recommeded,reccomended,noted,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended ,recommended,recommended ,Banged,recommended,keep in mind Colin's point about whether general meaning or specific word is more important; but I think recommending is a predictable relationship for therapist/doctor,keep in mind Colin's point about whether general meaning or specific word is more important; but I think recommending is a predictable relationship for therapist/doctor,n,0
1,3,g,30,,39,the announcer,stated,which,teammate,the,player,had,replaced,for the upcoming game.,g,6,0.2,6,,replaced,6,0.2,hit,3,0.1,passed,3,0.1,recently had an argument with,congratulated,chosen,played with,hurt,played,hit,replaced in the lineup,injured,replaced,worked with,replaced,fought,cooperated,a fight with,hit,replaced,punched,inadvertently injured,blocked,passed to,replaced,helped,hit,passed the ball to,hurt,struck,passed the ball to,Left,replaced,"or flip and use ""beaten""","or flip and use ""beaten""",n,6
1,4,g,30,,39,the announcer,stated,which,rival,the,player,had,replaced,for the upcoming game.,b,6,0,0,,beaten,5,0.166666667,bested,4,0.133333333,been,3,0.1,been playing against,battled,threatened with violence,admired,bested,been injured,beat,bested in the match,been competing with,competed against,defeated,beaten,injured,hatred for,scored a basket on,fallen,played against,played against,beaten,bested,beaten,tackled,wanted to beat,sacked,defeated ,bested,beaten,selected,joined,beaten,good,,n,0
2,2,g,224,46,40,the crafts fair manager,asked,which,cows,the,leatherworker,had,skinned,to make his bags.,g,6,0.2,6,,skinned,6,0.2,used,5,0.166666667,slaughtered,4,0.133333333,killed,used,picked,come from,tanned,slaughtered,bought,killed,killed,skinned,butchered,used for materials,used,utilized,skinned,purchased.,tanned,skinned,skinned,killed,slaughtered,chosen,hided,used,slaughtered,used,skinned,skinned,come from,slaughtered,,,n,6
2,1,g,224,46,40,the crafts fair manager,asked,which,customers,the,leatherworker,had,skinned,to make his bags.,b,6,0,0,,served,7,0.233333333,sold,4,0.133333333,spoken,2,0.066666667,spoken with,impressed,served,sold to,served,already helped,turned away,obtained,helped,sold his shoes to.,served,impressed.,served,spoken to.,sold goods to,enticed,discriminated against,frightened with his bizarre stories,taken orders from for Christmas gifts,served,enjoyed the most,referred,cheated,served,made a hat,cheated,given gifts to,served,done work for,sold his belts to,,,n,0
2,1,g,67,19,41,the police woman,recognized,which,officer,the,lieutenant,had,promoted,to a higher position.,g,6,0.2,6,,promoted,6,0.2,reprimanded,2,0.066666667,harassed,2,0.066666667,harassed,slapped,seen,chastised,chosen,named,promoted,reprimanded,harassed,selected to be part of his task force.,kissed,repimanded.,promoted,gave orders to.,greeted,promoted,raped,disciplined,listed for commendation,promoted,scolded,mentioned,interviewed with,promoted,taught,called,dismissed,fired,promoted,reprimanded,,,n,6
2,2,g,67,19,41,the police woman,recognized,which,thief,the,lieutenant,had,promoted,to a higher position.,b,6,0,0,"if can't figure out another way to get rid of the other promoted cases, consider swapping promoted with arrested for this one (arrested is actually cloze 5/30)",caught,6,0.2,arrested,5,0.166666667,described,3,0.1,caught,captured,captured,caught,handcuffed,killed,arrested,caught,arrested,described,apprehended,detained,described,fingered,abetted,arrested.,caught,apprehended,described,caught,chased,suspected,tried to capture,detained,stopped,seen,arraigned ,caught,arrested,arrested,,,n,0
2,2,g,76,20,42,the reviewer,forgot,which,researchers,the,authors,had,cited,in their paper.,g,6,0.2,6,,cited,6,0.2,worked,3,0.1,referenced,3,0.1,studied,referenced,credited,worked with,mentioned in his book,used,used,cited,quoted,notated,cited,warned of,named,referenced,consulted,refrenced.,written about,quoted,referenced,cited,worked with,cited,cited in their books,written about,researched,spoken to,cited,quoted,contacted,worked with,,,n,6
2,1,g,76,20,42,the reviewer,forgot,which,mice,the,authors,had,cited,in their paper.,b,6,0,0,,written,8,0.266666667,named,4,0.133333333,wrote,3,0.1,given names to,created,described,written about,seen,written about,written about,named,named,used in their experiment.,said,written about.,narrated,written about.,named,altered,wrote about,been abused by,noted as successfully surviving the experiment,tested,written about,listed,studied,named,wrote about,written about,wrote about,killed,written about,based their articles on,,,n,0
1,1,g,95,,43,the swim team captain,recalled,which,champion,the,swimmer,had,defeated,at last week's race.,g,6,0.2,6,,defeated,6,0.2,beaten,5,0.166666667,beat,4,0.133333333,challenged,defeated,defeated,beaten,emulated,been beat by,defeated,beaten,won,beaten,beaten,raced,bested,defeated,watched,high regards for,crowned,defeated,defeated,beat,beat,known,lost to,emulated.,awarded first place to,won,beaten,admired,beat,beat,"another 5 beaten and 4 beat --> used ""beaten"" instead? GOOD","another 5 beaten and 4 beat --> used ""beaten"" instead?",n,6
1,2,g,95,,43,the swim team captain,recalled,which,lifeguard,the,swimmer,had,defeated,at last week's race.,b,6,0,0,,been,7,0.25,saved,7,0.25,liked,2,0.071428571,been saved by,clung to,been saved by,saved,needed,saved,scared,saved,trained with,rebuked,beat up,been saved by,liked,been saved by,been saved by,been saved by,been saved by.,thanked,saved,saved,sassed,met,liked,recommended. ,saved,punched,thanked,saved,called for help,dated,,,n,0
1,1,g,100,,44,the zoologist,marked,which,pup,the,seal,had,birthed,over the weekend.,g,6,0.2,6,,birthed,6,0.2,given,4,0.133333333,fed,3,0.1,fed,abandoned,christened,nursed,raised,eaten,birthed,given birth to,birthed,eaten,fed,taken a liking to.,given birth to,delivered,first,protected,wounded,birthed,taken a liking to,fed,abandond,liked,birthed,watched over.,birthed,given birth to,birthed,forgotten to feed,given birth to,hurt,"marked which É'? the naturalness of the scenario could be helped a lot in the completion, e.g., by using a temporal phrase","or flip and use ""attacked""",n,6
1,2,g,100,,44,the zoologist,marked,which,walrus,the,seal,had,birthed,over the weekend.,b,6,0,0,,been,5,0.178571429,attacked,4,0.142857143,eaten,2,0.071428571,been kept with,identified,barked at,bit,faught,tangled,attacked,eaten,made friends with,avoided,been hiding from,attacked,passed,fought,bitten,attacked,mated with.,injured,fed,a fight with,been afraid of,been eaten by,seen,eaten with.,licked,been fighting with,fed,attacked,clapped for,attacked,,,n,0
2,1,g,40,11,45,the captain,realized,which,stowaway,the,sailor,had,hidden,in the cargo hold.,g,5,0.166666667,5,,found,6,0.2,hidden,4,0.133333333,kept,2,0.066666667,allowed on board,saved,discovered,thrown overboard,attacked,located,found in the hold,sheltered,talked about,helped to escape.,kept,identified.,hidden,found.,found,assisted,used,strangled,been secretly feeding,caught,kept hidden,hidden,found,discovered,hid inside,hidden,brought back,found,hidden,found,,,n,4
2,2,g,40,11,45,the captain,realized,which,pirate,the,sailor,had,hidden,in the cargo hold.,b,5,0,0,,killed,5,0.166666667,shot,3,0.1,captured,3,0.1,shot,encountered.,slain,met,worked under,killed,killed,captured,hated,slain,shot,captured,captured,escaped,killed,defeated.,arrested,stabbed,shot,arrested,talked to,feared the most,seen in the cabin,scared off,seen,killed,caught,saved,fought,killed,,,n,0
2,2,g,52,13,46,the father,recalled,which,girl,the,boy,had,dated,in junior high.,g,5,0.166666667,5,,liked,6,0.2,kissed,5,0.166666667,dated,5,0.166666667,kissed,played,loved,spotted,flirted with,kissed,liked,kissed,liked,spoken of fondly,hit,went out with,dated,liked,dated,danced with.,dated,liked,been talking to,liked,dated,kissed,married,kissed,dated,loved,admired,hugged,loved,liked,,,n,5
2,1,g,52,13,46,the father,recalled,which,dog,the,boy,had,dated,in junior high.,b,5,0,0,,wanted,6,0.2,loved,3,0.1,chosen,3,0.1,asked for,wanted,loved,wanted,chased,liked the most,chosen,wanted,asked for,played with.,owned,wanted to adopt.,chosen,chose.,chosen,lost,kicked,found,feared the most,owned,loved,wanted,liked,loved,seen in the park,raised,kicked,enjoyed,lost,wanted,,,n,0
2,2,g,226,48,47,the Japanese scientists,showed,which,salespeople,the,robots,had,replaced,in the last decade.,g,5,0.166666667,5,,replaced,5,0.166666667,been,5,0.166666667,served,2,0.066666667,killed,outperformed,killed,identified,replaced,replaced,served,spoken to,imitated,replaced,maimed,advanced AI,represented,studied,scammed,been manufactured by.,memories,served,manipulated,identified,been assigned to,run into,become fond of,been assigned to,recognized,been sold by,replaced,stopped,replaced,been sold by,,,n,5
2,1,g,226,48,47,the Japanese scientists,showed,which,patients,the,robots,had,replaced,in the last decade.,b,5,0,0,,helped,4,0.133333333,operated,3,0.1,treated,2,0.066666667,interacted with,helped,attended,operated on,obeyed,been helping,performed surgery upon,treated,operated,helped.,brainwashed,interacted with.,mimicked,helped.,identified,copied,trained with,stomped to death,successfully interviewed,treated,worked on,successfully treated,frightened,talked to,taken,helped,cured,cured,operated on,assisted ,,,n,0
1,1,g,72,,48,the principal,forgot,which,student,the,teacher,had,disciplined,after school yesterday.,g,5,0.166666667,5,,disciplined,5,0.166666667,punished,4,0.133333333,reprimanded,3,0.1,recommended,accused of cheating,punished,disciplined,nailed,failed,offended,kicked out,disciplined,scolded,mentioned,reprimanded,chastised ,reprimanded,punished,expelled ,blown,punished,punished,mentioned,prasied,scolded,disciplined,disciplined.,disciplined,seen,praised,sent to the office,called about,reprimanded,good,,n,5
1,2,g,72,,48,the principal,forgot,which,parent,the,teacher,had,disciplined,after school yesterday.,b,5,0,0,,called,6,0.214285714,spoken,3,0.107142857,a,2,0.071428571,a meeting with,called,said was difficult to deal with,spoken to,chosen,reprimanded,called,spoken with,informed,spoken to,a appointment with,scheduled a conference with,questioned,called,an argument with,complained about,spoke to.,called,scolded,set an appointment with,warned him about,scolded,liked,talked to.,called,argued with,seen.,called,said was coming for a conference,called,,,n,0
1,2,g,88,,49,the shepherd,saw,which,lamb,the,sheep,had,birthed,by the barn.,g,5,0.166666667,5,,birthed,4,0.142857143,given,4,0.142857143,nursed,2,0.071428571,given birth to,surrounded,nursed,hearded,hurt,raised,followed,licked,suckled,fostered,been ignoring,cast out of the herd,nudged,birthed,trampled,surrounded,loved.,birthed,birthed,left behind,given birth to,cared for,killed,given birth to.,nursed,trampled over,given birth to last week,birthed,taken care of,birthed,"or flip and use ""avoided""","or flip and use ""avoided""",n,5
1,1,g,88,,49,the shepherd,saw,which,predator,the,sheep,had,birthed,by the barn.,b,5,0,0,,been,6,0.2,avoided,5,0.166666667,fled,4,0.133333333,been frightened of,avoided,enticed,attacked,fled,been attacked by,avoided,ran from,encountered,avoided,seen,been hunted down by,been falling prey to,avoided,encountered,been afraid of,dripped,fled from,evaded,avoided,fled,stomped,fled,outwitted.,ran from,escaped,ran away from,evaded,stalking,been frighten of,I am surprised that people use 'birth' freely as a verb here!,,n,0
1,2,g,90,,50,the snoop,determined,which,bouncer,the,alcoholic,had,punched,last Friday night.,g,5,0.166666667,5,,hit,5,0.178571429,punched,5,0.178571429,attacked,3,0.107142857,hit,punched,been thrown out by,attacked,evaded,tussled with,yelled at,hit,been thrown out by,hit,came from,attacked,punched,got in a fight with,spit upon,poured his drink on,gotten loud with.,hit,punched,talked with,paid money to,beaten,hit,spoken with.,punched,urinated on,attacked,punched,assaulted,thrown out,good,,n,5
1,1,g,90,,50,the snoop,determined,which,psychologist,the,alcoholic,had,punched,last Friday night.,b,5,0,0,,been,6,0.2,seen,5,0.166666667,visited,5,0.166666667,been seeing,visited,consulted,been advised by,seen,visited,seen,spoken to,met,tricked,visited,gone to,visited,seen,become rotten,been seeing,drank,conferred with,been to,visited,stopped going to,barfed,seen,requested an appointment with.,confided in,seen,talked to,been a client of,been assigned,gotten booze from,,,n,0
1,3,g,3,,51,Carla,inquired,which,exterminator,the,landlord,had,used,in the apartment.,g,4,0.133333333,4,,hired,12,0.4,called,6,0.2,used,4,0.133333333,used to get rid of the mice,recommended,contracted,hired,hired,exterminated,hired,hired to do the job,hired,hired,called,contracted,used,called,called,hired,hired,chosen,used previously,called,called,used,hired,recommended,hired,referred her to,hired,called,Hired,recommended,good,,n,4
1,4,g,3,,51,Carla,inquired,which,neighbor,the,landlord,had,used,in the apartment.,b,4,0,0,,evicted,20,0.666666667,questioned,2,0.066666667,visited,2,0.066666667,called,evicted,evicted,evicted,evicted,questioned,evicted,been getting complaints about,evicted previously,evicted,hated,evicted,evicted,evicted,given final notice to,evicted,evicted,talked to,evicted,evicted,evicted,visited,evicted,evicted,evicted ,spoken to,evicted,questioned,visited,evicted,,,n,0
1,3,g,12,,52,Karen,learned,which,teenager,the,mother,had,grounded,for disobeying her.,g,4,0.133333333,4,,grounded,4,0.133333333,punished,4,0.133333333,adopted,2,0.066666667,encountered at the mall,punished,counseled,grounded,smacked,warned,grounded,given up for adoption,blown,lost,punished,adopted,adopted,argued,grounded,favored,killed,reported,abused,raised,over,favored,reported,grounded,punished,picked up from school on Monday,raised,punished,Punched,the earliest,good,,n,4
1,4,g,12,,52,Karen,learned,which,baby,the,mother,had,grounded,for disobeying her.,b,4,0,0,,adopted,3,0.1,fed,3,0.1,given,3,0.1,cared for,first,stolen,borne,fed earlier,given birth to,spoiled,given milk to,been given by mistake,abandoned,birthed,lost,adopted,loved,sung the lullaby to,born,fed,last fed,burped,adopted,fed,adopted,taken to the zoo,first,given up for adoption ,slapped,hugged,nursed,born,kept,,,n,0
1,2,g,25,,53,Sandra,observed,which,biologists,the,zookeeper,had,consulted,about the food.,g,4,0.133333333,4,"revert back to old one with old close probs, since new one not so greatÉ BUT 2/4 consulteds are actually ""consulted with"" while two are straight transitiveÉ. HmÉ. :( BUT ""fed"" would work, just higher cloze prob so g and r would be less balancedÉ",consulted,4,0.142857143,hired,3,0.107142857,worked,3,0.107142857,consulted with,partnered with,chosen to study the animals at the zoo,taught,chosen,hired,consulted,hired,worked with,worked with,an altercation with the other day,learned from,talked to,consulted with,given keys to,over,talked to.,mocked,met,interviewed,favored over the others,seen,hired,used.,called,given bad reports to,consulted,worked with,taken for a tour,retained,good - alternative to 'Sandra'?,,n,4
1,1,g,25,,53,Sandra,observed,which,gorillas,the,zookeeper,had,consulted,about the food.,b,4,0,0,,fed,18,0.6,blown,1,0.033333333,confined,1,0.033333333,fed,confined,groomed,given shots to,fed,fed ,fed,put in cages,fed,fought,kept,fed,raised,fed,fed,fed,blown,fed,fed,fed,fed,fed,fed,fed the bananas to.,tamed,control of,fed,fed,in the habitat,liked,,,n,0
2,2,g,66,18,54,the anthropologist,discovered,which,animal,the,caveman,had,hunted,with flint arrows.,g,4,0.133333333,4,,drawn,8,0.266666667,painted,5,0.166666667,hunted,4,0.133333333,drawn,drawn,eaten,hunted,ate alive,eaten,killed,painted,drawn,conquered,eaten,hunted for food,hunted,drawn,painted,painted.,the most uses for,drawn,followed,painted,hunted,drawn,raised for food,drew,drawn,eaten,domesticated,dinner,painted,drawn,,,n,4
2,1,g,66,18,54,the anthropologist,discovered,which,goddess,the,caveman,had,hunted,with flint arrows.,b,4,0,0,"or flip and use ""hunted""",worshipped,15,0.5,worshiped,3,0.1,married,2,0.066666667,his way with,worshiped,drawn,worshipped,hit,worshipped,worshipped,worshipped,believed,worshipped.,buried,worshipped.,worshipped,worshipped.,drawn,worshipped,married,depicted,depicted on the cave wall,worshipped,worshipped,worshiped,painted,worshiped,married,worshipped,worshipped,worshipped,praised,worshipped,,,n,0
1,4,g,63,,55,the mother,wondered,which,trick-or-treaters,the,neighbor,had,scared,with his costume.,g,4,0.133333333,4,,given,6,0.2,seen,6,0.2,scared,4,0.133333333,gotten,scared,yelled at,feared,gotten the most candy,seen,seen,given candy to,seen first,given candy to,seen,given more than one candy to,gotten,given candy to,scared away,chased,seen,had at his house,scared away,in-store,given candy to,entertained,given candy to,tonight,missed,seen,sent,scared,sent,frightened,reversible,,n,4
1,3,g,63,,55,the mother,wondered,which,milkman,the,neighbor,had,scared,with his costume.,b,4,0,0,"hm is this actually likely??? ""with his big dog"" actually sounds okay",slept,4,0.133333333,used,3,0.1,been,2,0.066666667,complained to the dairy about,used,used,an affair with,used,milked,hired,placed their order with last week,bred with,been impregnated by,delivering his milk,seen,bought from,seen,slept with,paid,seduced,harrassed,slept with,been sleeping with,sex with,working,slept with,tipped,met,run away with,received,slept with,Hired,purchased milk from,,,n,0
1,3,g,64,,56,the movie buff,speculated,which,actor,the,stuntman,had,portrayed,in the opening scene.,g,4,0.133333333,4,,replaced,9,0.3,doubled,4,0.133333333,portrayed,4,0.133333333,portrayed in the film,helped,doubled for,stood in for,doubled for,mimed,interpreted,replaced in a dangerous scene on the movie set,replaced,played,emulated,replaced,inpersonated,played,performed for,posed for,played,doubled for,replaced,portrayed,replaced,immitated,doubled for,worked for,replaced,portrayed,replaced,replaced for the scene,Portrayed,replaced,does 'double' require a preposition? 'for'?,,n,4
1,4,g,64,,56,the movie buff,speculated,which,director,the,stuntman,had,portrayed,in the opening scene.,b,4,0,0,,worked,13,0.433333333,been,2,0.066666667,chosen,2,0.066666667,chosen,worked with,become friends with,liked,worked with,hurt,liked,worked for before,performed the best for,worked for,disillusioned,been married to,fired,worked for,yelled at furiously,jumped,worked for,worked for,worked with,worked for,worked with,known,worked for,worked with,been hired by,worked for,baited,chosen,baffled,preferred,,,n,0
1,4,g,75,,57,the researcher,recorded,which,chimpanzee,the,biologist,had,tagged,to be studied.,g,4,0.133333333,4,,studied,4,0.133333333,tagged,4,0.133333333,tested,4,0.133333333,been studying,tagged,studied,tagged,interacted with,tortured,studied,been studying at the zoo,followed for his research study,tagged,adopted,taught the trick to,sterilized,tested,experimented on,watched,watched,tested,put to sleep,tested,loved,tagged,given the virus,deemed intelligent,devoted the most time to,studied,injected,studied,chosen,tested,good,,n,4
1,3,g,75,,57,the researcher,recorded,which,assistant,the,biologist,had,tagged,to be studied.,b,4,0,0,,hired,4,0.137931034,worked,3,0.103448276,needed,2,0.068965517,named praised for the new discovery,wanted,trained,test the samples, confided in,assisted,hired,on his team,porked,hired,demoted,accompanying,worked with,promoted,gotten along with,needed,mentioned,worked with,relied on the most,needed most,hired,used,handpicked,trained,medicated,talked to,chosen,sex with,Hired,worked with,,,n,0
1,1,g,86,,58,the sentry,knew,which,guard,the,captain,had,fired,from the position.,g,4,0.133333333,4,,fired,4,0.133333333,demoted,2,0.066666667,promoted,2,0.066666667,punished,accused,appointed,destroyed,promoted,yelled at,ordered,trained,promoted,posted,intended,demoted,fired,chosen,fired,favored,flabby,assigned to the gate,executed,fired,demoted,fired,relieved,bribed.,punished,elected,replaced,faith in,locked up,yelled at,good,,n,4
1,2,g,86,,58,the sentry,knew,which,townsperson,the,captain,had,fired,from the position.,b,4,0,0,,been,3,0.107142857,arrested,2,0.071428571,shot,2,0.071428571,eaten dinner with,forgotten,spoken to,lead,murdered,bedded,seen,shot,punished,said to watch,been talking to,thrown off the ship,jailed,arrested,been keeping an eye on,arrested,talked to,suspected,brought,spoken with,admired,executed,shot,been with.,accosted,imprisoned,spotted,found,taken with him on rounds,hired,,,n,0
1,3,g,97,,59,the team manager,knew,which,athlete,the,officials,had,penalized,for being unsportsmanlike.,g,4,0.133333333,4,,ejected,4,0.133333333,penalized,4,0.133333333,suspended,4,0.133333333,repeatedly penalized,penalized,warned,suspected,suspended,suspended,hired,tossed out of the game,ejected,accused,investigated,disqualified,ejected,ejected,picked for the team,suspected,banned,suspended from the game,caught taking bribes,penalized,selected,declared as the winner,ejected,wanted fired,warned,chosen to win,disqualified,penalized.,Penalized,suspended,good,,n,4
1,4,g,97,,59,the team manager,knew,which,umpire,the,officials,had,penalized,for being unsportsmanlike.,b,4,0,0,"""ejected"" sounds too good to me with umpireÉ",bribed,3,0.1,chosen,3,0.1,hired,3,0.1,in their record,assigned,fired,wanted,let go,vindicated,trusted,chosen for the big game,agreed with,put on probation,preferred,suspended,bribed,bought,reprimanded for bad calls,striked,fought with,chosen,trusted,bribed,hated,hired,hired for the game,removed from the game,the most favorable calls by,chosen,fired,outed,hired,bribed,,,n,0
