condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,Target.Freq,Target.Prob,Nresponses,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Response31,Response32,Response33,Response34
3,new.high,3,2,28,new,high,g,41,d,The hooligan,deduced,which,victim,the,gangster,had,robbed,in the alleyway.,4,0.133333333,30,assaulted,beaten,captured,executed,hit,killed,killed,killed,killed,killed,mugged,mugged,murdered,murdered,murdered,murdered,murdered,overlooked,robbed,robbed,robbed,robbed,shot,shot,shot,sold the drugs to,targeted,targeted,targeted,tortured,,,,
4,new.low,3,1,28,new,low,b,41,c,The victim,deduced,which,hooligan,the,gangster,had,robbed,in the alleyway.,2,0.064516129,31,a fight with,allied with,assistance from,beat up,beaten,beaten,been in cahoots with,colluded with,favored,fought,fought,harmed,helped,hired,killed,killed,lured in,punched,recruited,recruited,rob him,rob him,robbed. ,shot,shot,shot,shot,shot,shot,shot,teamed up with,,,
1,old.high,4,2,29,old,high,g,43,a,The fairy princess,described,which,demons,the,sorceress,had,summoned,with her spell.,6,0.193548387,31,angered,banished,called,cast a spell on,cast a spell with,conjured,conjured to torment her with,conjured up,cursed her with,defeated,destroyed,detroyed,exorcised,expelled,expelled ,faught,fought against,hurt,killed,killed,killed,slain,slayed,summoned,summoned,summoned,summoned,summoned,summoned to torment her,to summon,vanquished,,,
2,old.low,4,1,29,old,low,b,43,b,The fairy princess,described,which,newts,the,sorceress,had,summoned,with her spell.,0,0,30,called,captured,captured,cast a spell on,changed,conjured up,cooked for stew,created,cursed,cursed,cursed,eaten,eaten,enchanted,enchanted,enchanted ,given,kissed,made appear,placed spells on,put a spell on,trapped,turned back,turned into princes,turned into toads,turned to stone,used,used,used in her potion,wanted,,,,
3,new.high,4,3,29,new,high,g,43,c,The newts,described,which,demons,the,sorceress,had,summoned,with her spell.,9,0.28125,32,as acquaintances,conjured,conjured,conjured,conjured,conjured,conjured,created,demolished,destroyed,devoured,eliminated,enchanted,exorcized,expelled,hexed,imprisoned,killed,punished,removed,summoned,summoned,summoned,summoned,summoned,summoned,summoned,summoned,summoned,transformed,transformed,vanquished,,
4,new.low,4,4,29,new,low,b,43,d,The demons,described,which,newts,the,sorceress,had,summoned,with her spell.,0,0,30,added,added to her potion,captured,changed,consumed,cooked,cooked,cursed. ,eaten,eaten,eaten,enchanted,helped,hidden,mutilated,placed a spell on,raised,run to,transformed,transformed,turned into witch's stew,used,used,used,used,used,used ,used in their spells,used magic against,vexed,,,,
1,old.high,5,4,30,old,high,g,43,b,The fairy princess,described,which,newts,the,sorceress,had,used,in the potion.,3,0.1,30,called,captured,captured,cast a spell on,changed,conjured up,cooked for stew,created,cursed,cursed,cursed,eaten,eaten,enchanted,enchanted,enchanted ,given,kissed,made appear,placed spells on,put a spell on,trapped,turned back,turned into princes,turned into toads,turned to stone,used,used,used in her potion,wanted,,,,
2,old.low,5,3,30,old,low,b,43,a,The fairy princess,described,which,demons,the,sorceress,had,used,in the potion.,0,0,31,angered,banished,called,cast a spell on,cast a spell with,conjured,conjured to torment her with,conjured up,cursed her with,defeated,destroyed,detroyed,exorcised,expelled,expelled ,faught,fought against,hurt,killed,killed,killed,slain,slayed,summoned,summoned,summoned,summoned,summoned,summoned to torment her,to summon,vanquished,,,
3,new.high,5,1,30,new,high,g,43,d,The demons,described,which,newts,the,sorceress,had,used,in the potion.,8,0.266666667,30,added,added to her potion,captured,changed,consumed,cooked,cooked,cursed. ,eaten,eaten,eaten,enchanted,helped,hidden,mutilated,placed a spell on,raised,run to,transformed,transformed,turned into witch's stew,used,used,used,used,used,used ,used in their spells,used magic against,vexed,,,,
4,new.low,5,2,30,new,low,b,43,c,The newts,described,which,demons,the,sorceress,had,used,in the potion.,0,0,32,as acquaintances,conjured,conjured,conjured,conjured,conjured,conjured,created,demolished,destroyed,devoured,eliminated,enchanted,exorcized,expelled,hexed,imprisoned,killed,punished,removed,summoned,summoned,summoned,summoned,summoned,summoned,summoned,summoned,summoned,transformed,transformed,vanquished,,
1,old.high,1,2,31,old,high,g,50,a,The journalist,reported,which,opponent,the,politician,had,defeated,in the election.,5,0.166666667,30,attacked,beat,beaten,beaten,beaten,been against,blackmailed,blackmailed ,criticized,criticized,criticized ,debated,debated,defeated,defeated,defeated,defeated,defeated,disliked,endorsed,injured,opposed,rebuked,rivalry with,sabotaged,slander. ,slandered,slandered,slandered ,squashed,,,,
2,old.low,1,1,31,old,low,b,50,b,The journalist,reported,which,voters,the,politician,had,defeated,in the election.,0,0,31,alienated,betrayed,bought,bribed,bribed,cheated,confidence in,courted,elected,gone to visit,greeted,hated,lost,met,met,received large donations from,schemed to defraud,shaken hands with,sought to convert,spoken to,spoken with,spoken with on his meeting,swindled,swindled,talked with,targeted,targeted for their campaign,targetted,thanked,visited,won,,,
3,new.high,1,4,31,new,high,g,50,c,The voters,reported,which,opponent,the,politician,had,defeated,in the election.,6,0.2,30,attacked with ads,beaten,beaten,beaten,beaten,been defeated by,called out,chastized,condemned,debated with,defeated,defeated,defeated,defeated,defeated,defeated ,disliked,libeled,lost to,mentioned ,overcome,run against,selected,slandered,slandered,slandered,smeared,to look out for,won,worked,,,,
4,new.low,1,3,31,new,low,b,50,d,The opponent,reported,which,voters,the,politician,had,defeated,in the election.,0,0,32,acquired,angered,attained,bought,bought,bribed,bribed,bribed,bribed,bribed,bribed,favored,gained,gotten,lied to,lost,met with,paid,paid,payed off,rallied,recruited,remembered,resonated with,seized,selected,snubbed,targeted in speeches,tricked,used,won,won,,
1,old.high,2,3,32,old,high,g,50,b,The journalist,reported,which,voters,the,politician,had,bribed,with his money.,2,0.064516129,31,alienated,betrayed,bought,bribed,bribed,cheated,confidence in,courted,elected,gone to visit,greeted,hated,lost,met,met,received large donations from,schemed to defraud,shaken hands with,sought to convert,spoken to,spoken with,spoken with on his meeting,swindled,swindled,talked with,targeted,targeted for their campaign,targetted,thanked,visited,won,,,
2,old.low,2,4,32,old,low,b,50,a,The journalist,reported,which,opponent,the,politician,had,bribed,with his money.,0,0,30,attacked,beat,beaten,beaten,beaten,been against,blackmailed,blackmailed ,criticized,criticized,criticized ,debated,debated,defeated,defeated,defeated,defeated,defeated,disliked,endorsed,injured,opposed,rebuked,rivalry with,sabotaged,slander. ,slandered,slandered,slandered ,squashed,,,,
3,new.high,2,1,32,new,high,g,50,d,The opponent,reported,which,voters,the,politician,had,bribed,with his money.,6,0.1875,32,acquired,angered,attained,bought,bought,bribed,bribed,bribed,bribed,bribed,bribed,favored,gained,gotten,lied to,lost,met with,paid,paid,payed off,rallied,recruited,remembered,resonated with,seized,selected,snubbed,targeted in speeches,tricked,used,won,won,,
4,new.low,2,2,32,new,low,b,50,c,The voters,reported,which,opponent,the,politician,had,bribed,with his money.,0,0,30,attacked with ads,beaten,beaten,beaten,beaten,been defeated by,called out,chastized,condemned,debated with,defeated,defeated,defeated,defeated,defeated,defeated ,disliked,libeled,lost to,mentioned ,overcome,run against,selected,slandered,slandered,slandered,smeared,to look out for,won,worked,,,,
1,old.high,3,1,33,old,high,g,54,a,The paleoanthropologist,discovered,which,goddess,the,caveman,had,worshipped,with his murals.,11,0.366666667,30,carved from a bone,drawn,dreams about,interactions with,interest in,looked up to,loved,loved,loved,loved,praised,prayed to. ,worshiped,worshiped,worshiped,worshiped,worshiped,worshiped ,worshiped ,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,,,,
2,old.low,3,2,33,old,low,b,54,b,The paleoanthropologist,discovered,which,animal,the,caveman,had,worshipped,with his murals.,0,0,31,ate,drawn,drawn,drawn,drawn,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten the most of,hunted,hunted,hunted,hunted,hunted the most,kept as a pet,killed,killed,killed,killed,preferred to draw on the cave walls,used to make clothing from,,,
3,new.high,3,3,33,new,high,g,54,c,The animal,discovered,which,goddess,the,caveman,had,worshipped,with his murals.,9,0.3,30,been admiring,been seeing in his dreams,clubbed,discovered,drawn,eaten,fantasized over,found,held captive,honored,prayed to,represented ,taken hostage,wanted to marry,worshiped,worshiped,worshiped,worshiped,worshiped ,worshiped ,worshiped ,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,,,,
4,new.low,3,4,33,new,low,b,54,d,The goddess,discovered,which,animal,the,caveman,had,worshipped,with his murals.,1,0.03125,32,cared for,drawn,drawn,drawn,drawn,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,harmed,hunted,hunted,killed,killed,killed,killed,killed,painted,painted,sacrificed,sacrificed,sacrificed,sacrificed,seen,slaughtered,worshipped,,
1,old.high,4,3,34,old,high,g,54,b,The paleoanthropologist,discovered,which,animal,the,caveman,had,eaten,during the winter.,13,0.419354839,31,ate,drawn,drawn,drawn,drawn,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten the most of,hunted,hunted,hunted,hunted,hunted the most,kept as a pet,killed,killed,killed,killed,preferred to draw on the cave walls,used to make clothing from,,,
2,old.low,4,4,34,old,low,b,54,a,The paleoanthropologist,discovered,which,goddess,the,caveman,had,eaten,during the winter.,0,0,30,carved from a bone,drawn,dreams about,interactions with,interest in,looked up to,loved,loved,loved,loved,praised,prayed to. ,worshiped,worshiped,worshiped,worshiped,worshiped,worshiped ,worshiped ,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,,,,
3,new.high,4,2,34,new,high,g,54,d,The goddess,discovered,which,animal,the,caveman,had,eaten,during the winter.,10,0.3125,32,cared for,drawn,drawn,drawn,drawn,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,harmed,hunted,hunted,killed,killed,killed,killed,killed,painted,painted,sacrificed,sacrificed,sacrificed,sacrificed,seen,slaughtered,worshipped,,
4,new.low,4,1,34,new,low,b,54,c,The animal,discovered,which,goddess,the,caveman,had,eaten,during the winter.,1,0.033333333,30,been admiring,been seeing in his dreams,clubbed,discovered,drawn,eaten,fantasized over,found,held captive,honored,prayed to,represented ,taken hostage,wanted to marry,worshiped,worshiped,worshiped,worshiped,worshiped ,worshiped ,worshiped ,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,worshipped,,,,
1,old.high,5,1,35,old,high,g,61,a,The reporter,publicized,which,golddigger,the,millionaire,had,married,the previous week.,18,0.5625,32,been duped by,dated,dated,dated,divorced,dumped,hired,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,noted,ran away from,relations with,slept with,sued,taken advantage of,wed,,
2,old.low,5,2,35,old,low,b,61,b,The reporter,publicized,which,entrepreneur,the,millionaire,had,married,the previous week.,1,0.033333333,30,a date with. ,backed,backed,backed,backed,bamboozled,bankrolled,bought out,chosen,defrauded,donated to,funded,funded,funded,funded,given a loan to,helped ,hired,interest in,invested in,invested in,invested in,invested with,made a deal with,married,partnered up with,taken advantage of,talked to about stocks,went into business with,won against,,,,
3,new.high,5,4,35,new,high,g,61,c,The entrepreneur,publicized,which,golddigger,the,millionaire,had,married,the previous week.,19,0.612903226,31,been having an affair with,betrayed,fallen for,hated,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married this time,on the side,ran off with,ripped off,slept with,slept with,slept with,swindled,,,
4,new.low,5,3,35,new,low,b,61,d,The golddigger,publicized,which,entrepreneur,the,millionaire,had,married,the previous week.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,old.high,1,4,36,old,high,g,61,b,The reporter,publicized,which,entrepreneur,the,millionaire,had,invested,in for the fiscal year.,4,0.133333333,30,a date with. ,backed,backed,backed,backed,bamboozled,bankrolled,bought out,chosen,defrauded,donated to,funded,funded,funded,funded,given a loan to,helped ,hired,interest in,invested in,invested in,invested in,invested with,made a deal with,married,partnered up with,taken advantage of,talked to about stocks,went into business with,won against,,,,
2,old.low,1,3,36,old,low,b,61,a,The reporter,publicized,which,golddigger,the,millionaire,had,invested,in for the fiscal year.,0,0,32,been duped by,dated,dated,dated,divorced,dumped,hired,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,noted,ran away from,relations with,slept with,sued,taken advantage of,wed,,
3,new.high,1,2,36,new,high,g,61,d,The golddigger,publicized,which,entrepreneur,the,millionaire,had,invested,in for the fiscal year.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,new.low,1,1,36,new,low,b,61,c,The entrepreneur,publicized,which,golddigger,the,millionaire,had,invested,in for the fiscal year.,0,0,31,been having an affair with,betrayed,fallen for,hated,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married,married this time,on the side,ran off with,ripped off,slept with,slept with,slept with,swindled,,,
1,old.high,2,2,37,old,high,g,66,a,The secret serviceman,concealed,which,assassin,the,agent,had,shot,in the chest.,3,0.1,30,arrested,been assigned,captured,captured,caught,dispatched,eliminated,found,hired. ,identified,killed,killed,killed,killed,killed,killed,killed,killed,killed,murdered,murdered,narrowly escaped,noticed,reprimanded,shot,shot,shot,subdued,taken care of ,targeted,,,,
2,old.low,2,1,37,old,low,b,66,b,The secret serviceman,concealed,which,ex-president,the,agent,had,shot,in the chest.,1,0.032258065,31,aided,assassinated,assassinated,attempted to bribe,been assigned to,endangered,guarded,guarded,guarded,guarded previously,helped,met,protected,protected,protected,protected,protected,protected,protected,protected,protected,protected ,protected before,protected. ,served previously,served under,shielded,shot,under guard,worked for,worked under,,,
3,new.high,2,3,37,new,high,g,66,c,The ex-president,concealed,which,assassin,the,agent,had,shot,in the chest.,2,0.066666667,30,apprehended,aprehended,assassinated ,been looking for,captured,captured,captured,discovered,found,hired to kill him,killed,killed,killed,killed,killed,missed,murdered,sent,shot,shot,slept with,spied,stopped,stopped,taken care of,taken out,taken out,taken out,to kill,worked for,,,,
4,new.low,2,4,37,new,low,b,66,d,The assassin,concealed,which,ex-president,the,agent,had,shot,in the chest.,0,0,32,assassinated,assassinated,assigned,covered,defended,failed,guarded,hated,hired him to kill,hit,identified,killed,killed,killed,killed,killed,lied,murdered,murdered,planned to protect,protected,protected,protected,saved,spied for,spied on,taken down,targeted,targeted,targeted,wanted,worked with,,
1,old.high,3,4,38,old,high,g,66,b,The secret serviceman,concealed,which,ex-president,the,agent,had,protected,from the bullet.,9,0.290322581,31,aided,assassinated,assassinated,attempted to bribe,been assigned to,endangered,guarded,guarded,guarded,guarded previously,helped,met,protected,protected,protected,protected,protected,protected,protected,protected,protected,protected ,protected before,protected. ,served previously,served under,shielded,shot,under guard,worked for,worked under,,,
2,old.low,3,3,38,old,low,b,66,a,The secret serviceman,concealed,which,assassin,the,agent,had,protected,from the bullet.,0,0,30,arrested,been assigned,captured,captured,caught,dispatched,eliminated,found,hired. ,identified,killed,killed,killed,killed,killed,killed,killed,killed,killed,murdered,murdered,narrowly escaped,noticed,reprimanded,shot,shot,shot,subdued,taken care of ,targeted,,,,
3,new.high,3,1,38,new,high,g,66,d,The assassin,concealed,which,ex-president,the,agent,had,protected,from the bullet.,3,0.09375,32,assassinated,assassinated,assigned,covered,defended,failed,guarded,hated,hired him to kill,hit,identified,killed,killed,killed,killed,killed,lied,murdered,murdered,planned to protect,protected,protected,protected,saved,spied for,spied on,taken down,targeted,targeted,targeted,wanted,worked with,,
4,new.low,3,2,38,new,low,b,66,c,The ex-president,concealed,which,assassin,the,agent,had,protected,from the bullet.,0,0,30,apprehended,aprehended,assassinated ,been looking for,captured,captured,captured,discovered,found,hired to kill him,killed,killed,killed,killed,killed,missed,murdered,sent,shot,shot,slept with,spied,stopped,stopped,taken care of,taken out,taken out,taken out,to kill,worked for,,,,
1,old.high,4,2,39,old,high,g,73,a,The storyteller,explained,which,princess,the,prince,had,saved,with his bravery.,5,0.15625,32,bedded,chosen,chosen,eaten,fallen for,in his thoughts,kisd,kissed,kissed,kissed,kissed,kissed,loved,married,married,married,married,married,married,married,married,married,married,married,married,married,rescued,saved,saved,saved,saved,saved,,
2,old.low,4,1,39,old,low,b,73,b,The storyteller,explained,which,dragon,the,prince,had,saved,with his bravery.,0,0,30,been eaten by,defeated,honored,killed,killed,killed ,rode,seen,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain. ,slaughtered,slayed,slayed,slayed,slayed,slayed,slayed,,,,
3,new.high,4,4,39,new,high,g,73,c,The dragon,explained,which,princess,the,prince,had,saved,with his bravery.,3,0.096774194,31,as his queen,chosen,chosen,failed,fallen in love with,fallen in love with,fought for,had to rescue,his eyes on,kissed,longed to meet,married,rescued,rescued,rescued,rescued,rescued,rescued,rescued,rescued,saved,saved,saved,saved from the tower,seduced,sought,stolen,to go find,to rescue,to take,tried to save,,,
4,new.low,4,3,39,new,low,b,73,d,The princess,explained,which,dragon,the,prince,had,saved,with his bravery.,0,0,30,eaten,killed,killed,killed,missed,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slayed,slayed,slayed,slayed,slayed,slayed,slayed,slayed,slayed,to go kill,to slay,to slay,,,,
1,old.high,5,3,40,old,high,g,73,b,The storyteller,explained,which,dragon,the,prince,had,slain,with his sword.,21,0.7,30,been eaten by,defeated,honored,killed,killed,killed ,rode,seen,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain. ,slaughtered,slayed,slayed,slayed,slayed,slayed,slayed,,,,
2,old.low,5,4,40,old,low,b,73,a,The storyteller,explained,which,princess,the,prince,had,slain,with his sword.,0,0,32,bedded,chosen,chosen,eaten,fallen for,in his thoughts,kisd,kissed,kissed,kissed,kissed,kissed,loved,married,married,married,married,married,married,married,married,married,married,married,married,married,rescued,saved,saved,saved,saved,saved,,
3,new.high,5,1,40,new,high,g,73,d,The princess,explained,which,dragon,the,prince,had,slain,with his sword.,24,0.8,30,eaten,killed,killed,killed,missed,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slayed,slayed,slayed,slayed,slayed,slayed,slayed,slayed,slayed,to go kill,to slay,to slay,,,,
4,new.low,5,2,40,new,low,b,73,c,The dragon,explained,which,princess,the,prince,had,slain,with his sword.,0,0,31,as his queen,chosen,chosen,failed,fallen in love with,fallen in love with,fought for,had to rescue,his eyes on,kissed,longed to meet,married,rescued,rescued,rescued,rescued,rescued,rescued,rescued,rescued,saved,saved,saved,saved from the tower,seduced,sought,stolen,to go find,to rescue,to take,tried to save,,,
1,old.high,1,1,41,old,high,g,75,a,The swim team,recalled,which,champion,the,swimmer,had,beaten,during the race.,10,0.322580645,31,admired,aspired to be,beat,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten at the meet,beaten in the race,bested,competed against,competed against,crowned,defeated,idoled,idolized,lost to,loved,met,on their team,raced against,recalled,reminded him of,tied,tried to beat,won,,,
2,old.low,1,2,41,old,low,b,75,b,The swim team,recalled,which,lifeguard,the,swimmer,had,beaten,during the race.,0,0,30,a crush on,accused of inattention,been rescued by,been rescued by,been saved by,been saved by,been saved by,been saved by,called for,called out for,called out to,called to,called to,dated,drowned,drowned,drowned ,helped,irritated,kissed,known,loved,problems with,saved,saved,slept with,splashed,splashed,swam,swam for,,,,
3,new.high,1,3,41,new,high,g,75,c,The lifeguard,recalled,which,champion,the,swimmer,had,beaten,during the race.,4,0.125,32,admired,beat,beat,beat,beat,beaten,beaten,beaten,beaten,beaten,beaten previously,been,been saved by,challenged,coached,defeated,defeated,defeated,defeated,emulated,found,idolized,idolized,idolized,looked up to,lunch with,rescued,saved,taught,tricked,won,won,,
4,new.low,1,4,41,new,low,b,75,d,The champion,recalled,which,lifeguard,the,swimmer,had,beaten,during the race.,0,0,30,a crush on,a problem with,attacked,been rescued by,been rescued by,been saved by,been saved by,been saved by,been saved by,been watched by,befriended,dated,dated,kissed,looked it,met with,needed,rescued,rescued,rescued,saved,saved,saved,saved ,saved. ,seen,swam with,thanked,thanked,trained,,,,
1,old.high,2,3,42,old,high,g,75,b,The swim team,recalled,which,lifeguard,the,swimmer,had,saved,by giving CPR.,2,0.066666667,30,a crush on,accused of inattention,been rescued by,been rescued by,been saved by,been saved by,been saved by,been saved by,called for,called out for,called out to,called to,called to,dated,drowned,drowned,drowned ,helped,irritated,kissed,known,loved,problems with,saved,saved,slept with,splashed,splashed,swam,swam for,,,,
2,old.low,2,4,42,old,low,b,75,a,The swim team,recalled,which,champion,the,swimmer,had,saved,by giving CPR.,0,0,31,admired,aspired to be,beat,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten,beaten at the meet,beaten in the race,bested,competed against,competed against,crowned,defeated,idoled,idolized,lost to,loved,met,on their team,raced against,recalled,reminded him of,tied,tried to beat,won,,,
3,new.high,2,2,42,new,high,g,75,d,The champion,recalled,which,lifeguard,the,swimmer,had,saved,by giving CPR.,3,0.1,30,a crush on,a problem with,attacked,been rescued by,been rescued by,been saved by,been saved by,been saved by,been saved by,been watched by,befriended,dated,dated,kissed,looked it,met with,needed,rescued,rescued,rescued,saved,saved,saved,saved ,saved. ,seen,swam with,thanked,thanked,trained,,,,
4,new.low,2,1,42,new,low,b,75,c,The lifeguard,recalled,which,champion,the,swimmer,had,saved,by giving CPR.,1,0.03125,32,admired,beat,beat,beat,beat,beaten,beaten,beaten,beaten,beaten,beaten previously,been,been saved by,challenged,coached,defeated,defeated,defeated,defeated,emulated,found,idolized,idolized,idolized,looked up to,lunch with,rescued,saved,taught,tricked,won,won,,
1,old.high,3,1,43,old,high,g,76,a,The teacher,remembered,which,delinquent,the,principal,had,punished,after the scuffle.,8,0.266666667,30,attempted to help,called into her office,expelled,expelled,expelled,expelled,expelled,helped,in his office,punished,punished,punished,punished,punished,punished,punished,punished,punished ,reprimanded,reprimanded ,sent to detention,sentenced,spoken with,suspended,suspended,suspended,suspended,suspended for three days,talking,warned,,,,
2,old.low,3,2,43,old,low,b,76,b,The teacher,remembered,which,overacheiver,the,principal,had,punished,after the scuffle.,0,0,32,awarded,awarded,awarded,commended,commended,commended,commended,despised,expelled,favored,highlighted ,humbled,met,pointed out,praised,praised,praised,praised,praised,presented to the school board   ,recognized,recognized,rewarded,scolded,singled out,singled out for praise,spoken of,suspended,suspended,suspended,talked about,welcomed,,
3,new.high,3,4,43,new,high,g,76,c,The overacheiver,remembered,which,delinquent,the,principal,had,punished,after the scuffle.,6,0.2,30,allowed to run rampant,caught,compared him to,detained,disciplined,disciplined,disciplined,disliked,expelled,expelled,expelled,expelled,expelled,lectured,punished,punished,punished,punished,punished,punished,punished. ,ridiculed,scolded,scolded,suspended,suspended,suspended,suspended,suspended,suspended ,,,,
4,new.low,3,3,43,new,low,b,76,d,The delinquent,remembered,which,overacheiver,the,principal,had,punished,after the scuffle.,0,0,31,assigned him with for a project ,awarded a prize,congratulated,congratulated,congratulated,expelled,favored,favored,favored,fawned over,given honors to,helped,lauded,loved,loved,picked,praised,praised,praised,praised,praised,praised,praised,praised,praised,preferred,recently praised,rewarded,rewarded,rewarded,viewed as a teacher's pet,,,
1,old.high,4,4,44,old,high,g,76,b,The teacher,remembered,which,overacheiver,the,principal,had,praised,for good grades.,5,0.15625,32,awarded,awarded,awarded,commended,commended,commended,commended,despised,expelled,favored,highlighted ,humbled,met,pointed out,praised,praised,praised,praised,praised,presented to the school board   ,recognized,recognized,rewarded,scolded,singled out,singled out for praise,spoken of,suspended,suspended,suspended,talked about,welcomed,,
2,old.low,4,3,44,old,low,b,76,a,The teacher,remembered,which,delinquent,the,principal,had,praised,for good grades.,0,0,30,attempted to help,called into her office,expelled,expelled,expelled,expelled,expelled,helped,in his office,punished,punished,punished,punished,punished,punished,punished,punished,punished ,reprimanded,reprimanded ,sent to detention,sentenced,spoken with,suspended,suspended,suspended,suspended,suspended for three days,talking,warned,,,,
3,new.high,4,2,44,new,high,g,76,d,The delinquent,remembered,which,overacheiver,the,principal,had,praised,for good grades.,9,0.290322581,31,assigned him with for a project ,awarded a prize,congratulated,congratulated,congratulated,expelled,favored,favored,favored,fawned over,given honors to,helped,lauded,loved,loved,picked,praised,praised,praised,praised,praised,praised,praised,praised,praised,preferred,recently praised,rewarded,rewarded,rewarded,viewed as a teacher's pet,,,
4,new.low,4,1,44,new,low,b,76,c,The overacheiver,remembered,which,delinquent,the,principal,had,praised,for good grades.,0,0,30,allowed to run rampant,caught,compared him to,detained,disciplined,disciplined,disciplined,disliked,expelled,expelled,expelled,expelled,expelled,lectured,punished,punished,punished,punished,punished,punished,punished. ,ridiculed,scolded,scolded,suspended,suspended,suspended,suspended,suspended,suspended ,,,,
1,old.high,5,2,45,old,high,g,77,a,The team manager,knew,which,athlete,the,officials,had,penalized,during the match.,4,0.125,32,banned,banned,banned,banned,blackballed,caught,cheated,chosen,chosen,chosen,chosen,convicted,discussed,disqualified,doped,ejected,endoresed,flagged,identified,penalized,penalized,penalized,penalized,questioned,scouted,something against,spoken of,suspended,targeted,thrown out of the game,warned,warned about,,
2,old.low,5,1,45,old,low,b,77,b,The team manager,knew,which,umpire,the,officials,had,penalized,during the match.,1,0.033333333,30,a bad reputation,accused of being bribeable,bribed,caught,disagreements with,disliked,disliked,employed,fired,fired,fired. ,hired,hired,hired,hired,liked the most,liked the most,met with,paid,paid,penalized,picked for the game,rigged the game with,selected,selected,selected,sought,spoke about,supported,thrown out,,,,
3,new.high,5,3,45,new,high,g,77,c,The umpire,knew,which,athlete,the,officials,had,penalized,during the match.,2,0.064516129,31,a soft spot for,accused of cheating,banned,benched,booted,chosen,crowned mvp,ejected,ejected,favored to play in the game,fined,flagged,framed,given a penalty,indicated,lied,outed,penalized,penalized,picked,seen,substituted,supported,suspected of using steroids,suspended,suspended,suspended,their eye on,their eye on,thrown out,to kick out,,,
4,new.low,5,4,45,new,low,b,77,d,The athlete,knew,which,umpire,the,officials,had,penalized,during the match.,0,0,30,a problem with,appointed,banned,been watching,bribed,cheated,chosen,deemed biased,determined was unfit,fined,fined,fined,fired,fired,fired,fired,fired,hired,mistrusted,overridden,paid,put in the game,reprimanded,selected,selected,selected,suspended ,talked with,thrown out,to get rid of,,,,
1,old.high,1,4,46,old,high,g,77,b,The team manager,knew,which,umpire,the,officials,had,selected,to be at the game.,3,0.1,30,a bad reputation,accused of being bribeable,bribed,caught,disagreements with,disliked,disliked,employed,fired,fired,fired. ,hired,hired,hired,hired,liked the most,liked the most,met with,paid,paid,penalized,picked for the game,rigged the game with,selected,selected,selected,sought,spoke about,supported,thrown out,,,,
2,old.low,1,3,46,old,low,b,77,a,The team manager,knew,which,athlete,the,officials,had,selected,to be at the game.,0,0,32,banned,banned,banned,banned,blackballed,caught,cheated,chosen,chosen,chosen,chosen,convicted,discussed,disqualified,doped,ejected,endoresed,flagged,identified,penalized,penalized,penalized,penalized,questioned,scouted,something against,spoken of,suspended,targeted,thrown out of the game,warned,warned about,,
